nanobody,antigen,seed,binding_energy,success
nbALB_8y9t,gfp,0,-8.4,True
nbALB_8y9t,gfp,3,-4.6,True
nbALB_8y9t,gfp,4,-8.7,True
nbALB_8y9t,gfp,5,-0.0,True
nbALB_8y9t,gfp,6,-0.0,True
nbALB_8y9t,gfp,7,-1.4,True
nbALB_8y9t,gfp,8,-7.2,True
nbALB_8y9t,gfp,9,-3.1,True
nbALB_8y9t,gfp,10,-1.8,True
nbALB_8y9t,gfp,11,-0.2,True
nbALB_8y9t,sars_cov2_rbc,1,-1.3,True
nbALB_8y9t,sars_cov2_rbc,3,-4.9,True
nbALB_8y9t,sars_cov2_rbc,4,-7.4,True
nbALB_8y9t,sars_cov2_rbc,5,-10.7,True
nbALB_8y9t,sars_cov2_rbc,6,-7.0,True
nbALB_8y9t,sars_cov2_rbc,7,-5.9,True
nbALB_8y9t,sars_cov2_rbc,8,-0.0,True
nbALB_8y9t,sars_cov2_rbc,9,-0.2,True
nbALB_8y9t,sars_cov2_rbc,10,-7.5,True
nbALB_8y9t,sars_cov2_rbc,11,-4.1,True
nbALB_8y9t,mcherry,0,-3.9,True
nbALB_8y9t,mcherry,3,-3.4,True
nbALB_8y9t,mcherry,4,-13.8,True
nbALB_8y9t,mcherry,5,-5.8,True
nbALB_8y9t,mcherry,6,-0.0,True
nbALB_8y9t,mcherry,7,-2.6,True
nbALB_8y9t,mcherry,8,-6.2,True
nbALB_8y9t,mcherry,9,-0.0,True
nbALB_8y9t,mcherry,10,-9.0,True
nbALB_8y9t,mcherry,11,-0.7,True
nbALB_8y9t,albumin,0,-0.0,True
nbALB_8y9t,albumin,2,-18.4,True
nbALB_8y9t,albumin,5,-9.4,True
nbALB_8y9t,albumin,7,-4.1,True
nbALB_8y9t,albumin,8,-6.4,True
nbALB_8y9t,albumin,9,-0.0,True
nbALB_8y9t,albumin,10,-0.0,True
nbALB_8y9t,albumin,11,-7.8,True
nbALB_8y9t,albumin,12,-0.0,True
nbALB_8y9t,albumin,13,0.2,True
nbALB_8y9t,lysozyme,0,-0.0,True
nbALB_8y9t,lysozyme,1,-0.0,True
nbALB_8y9t,lysozyme,2,-11.3,True
nbALB_8y9t,lysozyme,3,-0.1,True
nbALB_8y9t,lysozyme,5,-10.7,True
nbALB_8y9t,lysozyme,6,-0.0,True
nbALB_8y9t,lysozyme,7,-6.7,True
nbALB_8y9t,lysozyme,8,-1.7,True
nbALB_8y9t,lysozyme,9,-3.5,True
nbALB_8y9t,lysozyme,10,-12.0,True
nbALB_8y9t,nat,0,-6.8,True
nbALB_8y9t,nat,1,-0.0,True
nbALB_8y9t,nat,2,-3.7,True
nbALB_8y9t,nat,3,-0.0,True
nbALB_8y9t,nat,4,-0.0,True
nbALB_8y9t,nat,5,-5.4,True
nbALB_8y9t,nat,6,-4.9,True
nbALB_8y9t,nat,7,-19.1,True
nbALB_8y9t,nat,8,-0.0,True
nbALB_8y9t,nat,9,-11.6,True
nbMCherry_8ilx,gfp,0,-13.7,True
nbMCherry_8ilx,gfp,2,-2.8,True
nbMCherry_8ilx,gfp,3,-0.8,True
nbMCherry_8ilx,gfp,4,0.2,True
nbMCherry_8ilx,gfp,5,-0.0,True
nbMCherry_8ilx,gfp,7,-4.4,True
nbMCherry_8ilx,gfp,8,-5.5,True
nbMCherry_8ilx,gfp,9,-9.2,True
nbMCherry_8ilx,gfp,10,-0.0,True
nbMCherry_8ilx,gfp,13,-4.3,True
nbMCherry_8ilx,sars_cov2_rbc,0,-10.9,True
nbMCherry_8ilx,sars_cov2_rbc,2,-0.0,True
nbMCherry_8ilx,sars_cov2_rbc,3,-8.2,True
nbMCherry_8ilx,sars_cov2_rbc,4,-4.3,True
nbMCherry_8ilx,sars_cov2_rbc,5,-0.3,True
nbMCherry_8ilx,sars_cov2_rbc,6,-9.1,True
nbMCherry_8ilx,sars_cov2_rbc,7,-15.0,True
nbMCherry_8ilx,sars_cov2_rbc,8,-8.5,True
nbMCherry_8ilx,sars_cov2_rbc,9,-2.0,True
nbMCherry_8ilx,sars_cov2_rbc,11,-0.2,True
nbMCherry_8ilx,mcherry,0,-3.1,True
nbMCherry_8ilx,mcherry,1,-14.5,True
nbMCherry_8ilx,mcherry,2,-11.4,True
nbMCherry_8ilx,mcherry,3,-0.0,True
nbMCherry_8ilx,mcherry,4,-0.0,True
nbMCherry_8ilx,mcherry,5,-9.0,True
nbMCherry_8ilx,mcherry,6,-0.0,True
nbMCherry_8ilx,mcherry,7,-7.0,True
nbMCherry_8ilx,mcherry,9,-10.1,True
nbMCherry_8ilx,mcherry,10,-7.0,True
nbMCherry_8ilx,albumin,0,-3.0,True
nbMCherry_8ilx,albumin,1,-0.0,True
nbMCherry_8ilx,albumin,2,-0.0,True
nbMCherry_8ilx,albumin,3,-0.0,True
nbMCherry_8ilx,albumin,4,-3.0,True
nbMCherry_8ilx,albumin,5,-0.0,True
nbMCherry_8ilx,albumin,7,-12.1,True
nbMCherry_8ilx,albumin,8,-0.0,True
nbMCherry_8ilx,albumin,9,-0.6,True
nbMCherry_8ilx,albumin,10,-6.2,True
nbMCherry_8ilx,lysozyme,1,-0.0,True
nbMCherry_8ilx,lysozyme,2,-7.7,True
nbMCherry_8ilx,lysozyme,3,-7.2,True
nbMCherry_8ilx,lysozyme,4,-0.0,True
nbMCherry_8ilx,lysozyme,5,-13.4,True
nbMCherry_8ilx,lysozyme,8,-0.0,True
nbMCherry_8ilx,lysozyme,9,-7.9,True
nbMCherry_8ilx,lysozyme,11,-0.0,True
nbMCherry_8ilx,lysozyme,12,-0.0,True
nbMCherry_8ilx,lysozyme,13,-9.1,True
nbMCherry_8ilx,nat,0,-5.8,True
nbMCherry_8ilx,nat,1,-15.8,True
nbMCherry_8ilx,nat,2,-7.3,True
nbMCherry_8ilx,nat,3,-0.0,True
nbMCherry_8ilx,nat,4,-0.0,True
nbMCherry_8ilx,nat,5,-5.9,True
nbMCherry_8ilx,nat,6,-17.7,True
nbMCherry_8ilx,nat,7,-15.6,True
nbMCherry_8ilx,nat,8,-0.0,True
nbMCherry_8ilx,nat,9,-6.4,True
nbNAT_8zoy,gfp,1,-5.4,True
nbNAT_8zoy,gfp,3,-11.3,True
nbNAT_8zoy,gfp,4,-8.2,True
nbNAT_8zoy,gfp,5,-5.6,True
nbNAT_8zoy,gfp,8,-3.3,True
nbNAT_8zoy,gfp,9,-1.7,True
nbNAT_8zoy,gfp,10,-8.0,True
nbNAT_8zoy,gfp,12,-1.6,True
nbNAT_8zoy,gfp,13,-2.7,True
nbNAT_8zoy,gfp,15,-7.0,True
nbNAT_8zoy,sars_cov2_rbc,1,-0.6,True
nbNAT_8zoy,sars_cov2_rbc,2,-0.0,True
nbNAT_8zoy,sars_cov2_rbc,3,-2.0,True
nbNAT_8zoy,sars_cov2_rbc,5,-0.1,True
nbNAT_8zoy,sars_cov2_rbc,6,-0.1,True
nbNAT_8zoy,sars_cov2_rbc,7,-8.2,True
nbNAT_8zoy,sars_cov2_rbc,8,-0.0,True
nbNAT_8zoy,sars_cov2_rbc,9,-3.9,True
nbNAT_8zoy,sars_cov2_rbc,12,-0.0,True
nbNAT_8zoy,sars_cov2_rbc,13,-2.0,True
nbNAT_8zoy,mcherry,0,-8.0,True
nbNAT_8zoy,mcherry,2,-0.0,True
nbNAT_8zoy,mcherry,3,-4.1,True
nbNAT_8zoy,mcherry,4,-5.5,True
nbNAT_8zoy,mcherry,5,-0.0,True
nbNAT_8zoy,mcherry,6,-1.6,True
nbNAT_8zoy,mcherry,8,-0.0,True
nbNAT_8zoy,mcherry,9,-0.0,True
nbNAT_8zoy,mcherry,10,-0.0,True
nbNAT_8zoy,mcherry,11,-9.1,True
nbNAT_8zoy,albumin,0,-0.0,True
nbNAT_8zoy,albumin,3,-0.0,True
nbNAT_8zoy,albumin,4,-0.0,True
nbNAT_8zoy,albumin,6,-2.7,True
nbNAT_8zoy,albumin,7,-4.3,True
nbNAT_8zoy,albumin,9,-0.6,True
nbNAT_8zoy,albumin,11,-6.1,True
nbNAT_8zoy,albumin,12,-3.9,True
nbNAT_8zoy,albumin,15,-3.2,True
nbNAT_8zoy,albumin,16,-0.0,True
nbNAT_8zoy,lysozyme,0,-0.0,True
nbNAT_8zoy,lysozyme,1,-1.9,True
nbNAT_8zoy,lysozyme,2,-2.5,True
nbNAT_8zoy,lysozyme,3,-4.6,True
nbNAT_8zoy,lysozyme,4,-0.0,True
