nanobody,antigen,binding_energy_mean,binding_energy_std,binding_energy_min,binding_energy_max,binding_energy_count,interface_area_mean,interface_area_std,interface_residues_mean,interface_residues_std,complex_score_mean,complex_score_std
nbALB_8y9t,albumin,-4.59,6.1,-18.4,0.2,10,0,0,0,0,0,0
nbALB_8y9t,gfp,-3.54,3.477,-8.7,-0.0,10,0,0,0,0,0,0
nbALB_8y9t,lysozyme,-4.6,5.106,-12.0,-0.0,10,0,0,0,0,0,0
nbALB_8y9t,mcherry,-4.54,4.364,-13.8,-0.0,10,0,0,0,0,0,0
nbALB_8y9t,nat,-5.15,6.212,-19.1,-0.0,10,0,0,0,0,0,0
nbALB_8y9t,sars_cov2_rbc,-4.9,3.524,-10.7,-0.0,10,0,0,0,0,0,0
nbGFP_6xzf,albumin,-5.57,6.546,-16.5,-0.0,10,0,0,0,0,0,0
nbGFP_6xzf,gfp,-3.31,2.982,-7.6,-0.0,10,0,0,0,0,0,0
nbGFP_6xzf,lysozyme,-3.67,4.453,-11.7,-0.0,10,0,0,0,0,0,0
nbGFP_6xzf,mcherry,-3.42,3.803,-9.7,0.1,10,0,0,0,0,0,0
nbGFP_6xzf,nat,-5.99,5.944,-16.2,0.5,10,0,0,0,0,0,0
nbGFP_6xzf,sars_cov2_rbc,-5.96,5.134,-15.6,-0.0,10,0,0,0,0,0,0
nbMCherry_8ilx,albumin,-2.49,3.961,-12.1,-0.0,10,0,0,0,0,0,0
nbMCherry_8ilx,gfp,-4.05,4.533,-13.7,0.2,10,0,0,0,0,0,0
nbMCherry_8ilx,lysozyme,-4.53,5.063,-13.4,-0.0,10,0,0,0,0,0,0
nbMCherry_8ilx,mcherry,-6.21,5.22,-14.5,-0.0,10,0,0,0,0,0,0
nbMCherry_8ilx,nat,-7.45,6.782,-17.7,-0.0,10,0,0,0,0,0,0
nbMCherry_8ilx,sars_cov2_rbc,-5.85,5.233,-15.0,-0.0,10,0,0,0,0,0,0
nbNAT_8zoy,albumin,-2.08,2.249,-6.1,-0.0,10,0,0,0,0,0,0
nbNAT_8zoy,gfp,-5.48,3.193,-11.3,-1.6,10,0,0,0,0,0,0
nbNAT_8zoy,lysozyme,-2.9,4.017,-10.1,0.3,10,0,0,0,0,0,0
nbNAT_8zoy,mcherry,-2.83,3.595,-9.1,-0.0,10,0,0,0,0,0,0
nbNAT_8zoy,nat,-7.74,8.323,-22.3,-0.0,10,0,0,0,0,0,0
nbNAT_8zoy,sars_cov2_rbc,-1.69,2.63,-8.2,-0.0,10,0,0,0,0,0,0
nbSARS_7f5h,albumin,-3.43,5.16,-15.5,-0.0,10,0,0,0,0,0,0
nbSARS_7f5h,gfp,-2.51,4.037,-10.9,1.1,10,0,0,0,0,0,0
nbSARS_7f5h,lysozyme,-3.17,4.088,-10.7,-0.0,10,0,0,0,0,0,0
nbSARS_7f5h,mcherry,-3.76,5.443,-15.3,-0.0,10,0,0,0,0,0,0
nbSARS_7f5h,nat,-4.93,6.39,-18.1,0.3,10,0,0,0,0,0,0
nbSARS_7f5h,sars_cov2_rbc,-5.41,5.308,-17.8,-0.0,10,0,0,0,0,0,0
nblys_1mel,albumin,-4.4,5.725,-16.6,-0.0,10,0,0,0,0,0,0
nblys_1mel,gfp,-4.36,5.74,-16.7,-0.0,10,0,0,0,0,0,0
nblys_1mel,lysozyme,-3.97,6.226,-19.9,-0.0,10,0,0,0,0,0,0
nblys_1mel,mcherry,-3.63,4.203,-11.8,-0.0,10,0,0,0,0,0,0
nblys_1mel,nat,-3.53,3.597,-8.8,-0.0,10,0,0,0,0,0,0
nblys_1mel,sars_cov2_rbc,-4.32,5.376,-13.4,-0.0,10,0,0,0,0,0,0
